120.88.73.122 | Informações geográficas não encontradas | 156.246.19.251 | Informações geográficas não encontradas | 1726018340
120.88.73.121 | Informações geográficas não encontradas | 0.38 | 3
192.168.1.254 | Informações geográficas não encontradas | 0.295 | 3
125.236.192.9 | Informações geográficas não encontradas | 3.505 | 3
125.236.192.9 | Informações geográficas não encontradas | 5.234 | 3
125.236.192.9 | Informações geográficas não encontradas | 1.874 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
122.56.119.216 | Informações geográficas não encontradas | 4.048 | 3
122.56.119.216 | Informações geográficas não encontradas | 5.876 | 3
122.56.119.216 | Informações geográficas não encontradas | 5.652 | 3
202.50.232.29 | Informações geográficas não encontradas | 5.737 | 3
202.50.232.29 | Informações geográficas não encontradas | 5.632 | 3
202.50.232.29 | Informações geográficas não encontradas | 5.958 | 3
122.56.127.50 | Informações geográficas não encontradas | 28.178 | 3
122.56.127.50 | Informações geográficas não encontradas | 25.681 | 3
122.56.127.50 | Informações geográficas não encontradas | 25.909 | 3
45.127.173.34 | Informações geográficas não encontradas | 31.164 | 3
45.127.173.34 | Informações geográficas não encontradas | 32.683 | 3
45.127.173.34 | Informações geográficas não encontradas | 33.147 | 3
156.246.19.249 | Informações geográficas não encontradas | 25.607 | 3
156.246.19.249 | Informações geográficas não encontradas | 25.787 | 3
156.246.19.249 | Informações geográficas não encontradas | 25.945 | 3
41.89.1.251 | Informações geográficas não encontradas | 154.92.25.2 | Informações geográficas não encontradas | 1726018347
41.89.1.1 | Informações geográficas não encontradas | 0.435 | 3
41.89.1.1 | Informações geográficas não encontradas | 0.35 | 3
41.89.1.1 | Informações geográficas não encontradas | 0.368 | 3
197.136.168.22 | Informações geográficas não encontradas | 0.75 | 3
197.136.168.22 | Informações geográficas não encontradas | 0.737 | 3
197.136.168.22 | Informações geográficas não encontradas | 0.735 | 3
196.223.21.77 | Informações geográficas não encontradas | 0.895 | 3
196.223.21.77 | Informações geográficas não encontradas | 0.879 | 3
196.223.21.77 | Informações geográficas não encontradas | 0.824 | 3
10.246.116.22 | Informações geográficas não encontradas | 6.044 | 3
10.246.116.22 | Informações geográficas não encontradas | 5.984 | 3
10.246.116.22 | Informações geográficas não encontradas | 5.989 | 3
10.246.113.243 | Informações geográficas não encontradas | 84.426 | 3
10.246.113.243 | Informações geográficas não encontradas | 84.406 | 3
10.246.113.243 | Informações geográficas não encontradas | 84.428 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
10.246.112.51 | Informações geográficas não encontradas | 180.281 | 3
10.246.112.51 | Informações geográficas não encontradas | 180.258 | 3
10.246.112.47 | Informações geográficas não encontradas | 180.311 | 3
10.246.112.47 | Informações geográficas não encontradas | 180.328 | 3
10.246.112.47 | Informações geográficas não encontradas | 180.393 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
154.92.25.2 | Informações geográficas não encontradas | 180.365 | 3
154.92.25.2 | Informações geográficas não encontradas | 180.37 | 3
154.92.25.2 | Informações geográficas não encontradas | 180.282 | 3
10.1.2.251 | Informações geográficas não encontradas | 156.225.111.18 | Informações geográficas não encontradas | 1726018332
10.1.2.1 | Informações geográficas não encontradas | 0.838 | 3
10.1.2.1 | Informações geográficas não encontradas | 0.666 | 3
10.1.2.1 | Informações geográficas não encontradas | 0.341 | 3
10.0.1.22 | Informações geográficas não encontradas | 0.702 | 3
10.0.1.22 | Informações geográficas não encontradas | 0.801 | 3
10.0.1.22 | Informações geográficas não encontradas | 0.753 | 3
45.65.233.1 | Informações geográficas não encontradas | 1.042 | 3
45.65.233.1 | Informações geográficas não encontradas | 0.766 | 3
45.65.233.1 | Informações geográficas não encontradas | 0.749 | 3
200.116.231.145 | Informações geográficas não encontradas | 4.634 | 3
200.116.231.145 | Informações geográficas não encontradas | 4.595 | 3
200.116.231.145 | Informações geográficas não encontradas | 4.641 | 3
138.0.42.135 | Informações geográficas não encontradas | 32.06 | 3
138.0.42.135 | Informações geográficas não encontradas | 19.526 | 3
138.0.42.135 | Informações geográficas não encontradas | 29.512 | 3
138.0.42.134 | Informações geográficas não encontradas | 16.63 | 3
138.0.42.134 | Informações geográficas não encontradas | 16.882 | 3
138.0.42.134 | Informações geográficas não encontradas | 16.708 | 3
200.16.69.60 | Informações geográficas não encontradas | 51.051 | 3
200.16.69.60 | Informações geográficas não encontradas | 51.03 | 3
200.16.69.60 | Informações geográficas não encontradas | 50.741 | 3
200.16.69.73 | Informações geográficas não encontradas | 68.895 | 3
200.16.69.73 | Informações geográficas não encontradas | 68.758 | 3
200.16.69.73 | Informações geográficas não encontradas | 68.711 | 3
206.126.236.24 | Informações geográficas não encontradas | 92.276 | 3
206.126.236.24 | Informações geográficas não encontradas | 90.158 | 3
206.126.236.24 | Informações geográficas não encontradas | 90.715 | 3
156.225.111.18 | Informações geográficas não encontradas | 88.695 | 3
156.225.111.18 | Informações geográficas não encontradas | 88.642 | 3
156.225.111.18 | Informações geográficas não encontradas | 88.631 | 3
41.204.180.14 | Informações geográficas não encontradas | 154.92.25.2 | Informações geográficas não encontradas | 1726018333
41.204.180.13 | Informações geográficas não encontradas | 0.417 | 3
41.204.180.13 | Informações geográficas não encontradas | 0.35 | 3
41.204.180.13 | Informações geográficas não encontradas | 0.348 | 3
41.204.173.34 | Informações geográficas não encontradas | 5.067 | 3
41.204.173.34 | Informações geográficas não encontradas | 5.094 | 3
41.204.173.34 | Informações geográficas não encontradas | 5.042 | 3
197.136.168.22 | Informações geográficas não encontradas | 5.386 | 3
197.136.168.22 | Informações geográficas não encontradas | 5.403 | 3
197.136.168.22 | Informações geográficas não encontradas | 5.416 | 3
196.223.21.77 | Informações geográficas não encontradas | 5.476 | 3
196.223.21.77 | Informações geográficas não encontradas | 5.504 | 3
196.223.21.77 | Informações geográficas não encontradas | 5.525 | 3
10.246.116.22 | Informações geográficas não encontradas | 10.747 | 3
10.246.116.22 | Informações geográficas não encontradas | 10.697 | 3
10.246.116.22 | Informações geográficas não encontradas | 10.648 | 3
10.246.113.243 | Informações geográficas não encontradas | 89.167 | 3
10.246.113.243 | Informações geográficas não encontradas | 89.125 | 3
10.246.113.243 | Informações geográficas não encontradas | 89.147 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
10.246.112.51 | Informações geográficas não encontradas | 184.952 | 3
10.246.112.47 | Informações geográficas não encontradas | 185.0 | 3
10.246.112.47 | Informações geográficas não encontradas | 184.99 | 3
10.246.112.47 | Informações geográficas não encontradas | 184.983 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
154.92.25.2 | Informações geográficas não encontradas | 185.319 | 3
154.92.25.2 | Informações geográficas não encontradas | 185.367 | 3
154.92.25.2 | Informações geográficas não encontradas | 184.997 | 3
192.168.0.3 | Informações geográficas não encontradas | 156.225.111.17 | Informações geográficas não encontradas | 1726018344
192.168.0.1 | Informações geográficas não encontradas | 1.35 | 3
192.168.0.1 | Informações geográficas não encontradas | 1.278 | 3
192.168.0.1 | Informações geográficas não encontradas | 1.258 | 3
10.11.128.1 | Informações geográficas não encontradas | 10.647 | 3
10.11.128.1 | Informações geográficas não encontradas | 11.718 | 3
10.11.128.1 | Informações geográficas não encontradas | 13.462 | 3
191.187.52.73 | Informações geográficas não encontradas | 106.678 | 3
191.187.52.73 | Informações geográficas não encontradas | 13.285 | 3
191.187.52.73 | Informações geográficas não encontradas | 16.15 | 3
200.179.231.9 | Informações geográficas não encontradas | 10.59 | 3
200.179.231.9 | Informações geográficas não encontradas | 11.725 | 3
200.179.231.9 | Informações geográficas não encontradas | 10.191 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
200.230.220.96 | Informações geográficas não encontradas | 148.067 | 3
200.230.220.96 | Informações geográficas não encontradas | 185.347 | 3
200.230.220.96 | Informações geográficas não encontradas | 152.605 | 3
200.244.216.220 | Informações geográficas não encontradas | 187.236 | 3
200.244.216.220 | Informações geográficas não encontradas | 149.622 | 3
200.244.216.220 | Informações geográficas não encontradas | 144.133 | 3
206.126.237.98 | Informações geográficas não encontradas | 154.299 | 3
206.126.237.98 | Informações geográficas não encontradas | 156.173 | 3
206.126.237.98 | Informações geográficas não encontradas | 155.97 | 3
103.140.147.234 | Informações geográficas não encontradas | 141.611 | 3
103.140.147.234 | Informações geográficas não encontradas | 141.55 | 3
103.140.147.234 | Informações geográficas não encontradas | 142.254 | 3
103.140.147.253 | Informações geográficas não encontradas | 155.182 | 3
103.140.147.253 | Informações geográficas não encontradas | 155.983 | 3
103.140.147.253 | Informações geográficas não encontradas | 156.654 | 3
98.98.230.245 | Informações geográficas não encontradas | 145.975 | 3
98.98.230.245 | Informações geográficas não encontradas | 151.883 | 3
98.98.230.245 | Informações geográficas não encontradas | 144.15 | 3
156.225.111.17 | Informações geográficas não encontradas | 163.035 | 3
156.225.111.17 | Informações geográficas não encontradas | 157.742 | 3
156.225.111.17 | Informações geográficas não encontradas | 164.981 | 3
192.168.2.214 | Informações geográficas não encontradas | 128.1.77.122 | Informações geográficas não encontradas | 1726018342
192.168.2.1 | Informações geográficas não encontradas | 0.33 | 3
192.168.2.1 | Informações geográficas não encontradas | 0.265 | 3
192.168.2.1 | Informações geográficas não encontradas | 0.256 | 3
192.168.1.1 | Informações geográficas não encontradas | 0.595 | 3
192.168.1.1 | Informações geográficas não encontradas | 0.53 | 3
192.168.1.1 | Informações geográficas não encontradas | 0.563 | 3
105.77.96.1 | Informações geográficas não encontradas | 9.508 | 3
105.77.96.1 | Informações geográficas não encontradas | 9.128 | 3
105.77.96.1 | Informações geográficas não encontradas | 8.166 | 3
10.137.69.82 | Informações geográficas não encontradas | 9.85 | 3
10.137.69.82 | Informações geográficas não encontradas | 10.369 | 3
10.137.69.82 | Informações geográficas não encontradas | 10.117 | 3
10.137.69.82 | Informações geográficas não encontradas | 9.953 | 3
10.137.69.82 | Informações geográficas não encontradas | 9.666 | 3
10.137.69.82 | Informações geográficas não encontradas | 9.794 | 3
172.20.15.42 | Informações geográficas não encontradas | 29.125 | 3
172.20.15.42 | Informações geográficas não encontradas | 29.237 | 3
172.20.15.42 | Informações geográficas não encontradas | 29.003 | 3
172.20.10.217 | Informações geográficas não encontradas | 29.788 | 3
172.20.10.217 | Informações geográficas não encontradas | 29.529 | 3
172.20.10.217 | Informações geográficas não encontradas | 29.76 | 3
195.72.84.89 | Informações geográficas não encontradas | 52.454 | 3
195.72.84.89 | Informações geográficas não encontradas | 52.031 | 3
195.72.84.89 | Informações geográficas não encontradas | 52.336 | 3
141.136.108.230 | Informações geográficas não encontradas | 44.889 | 3
141.136.108.230 | Informações geográficas não encontradas | 45.3 | 3
141.136.108.230 | Informações geográficas não encontradas | 44.861 | 3
92.60.240.154 | Informações geográficas não encontradas | 44.074 | 3
92.60.240.154 | Informações geográficas não encontradas | 44.247 | 3
92.60.240.154 | Informações geográficas não encontradas | 44.195 | 3
107.155.17.240 | Informações geográficas não encontradas | 53.77 | 3
107.155.17.240 | Informações geográficas não encontradas | 50.413 | 3
107.155.17.240 | Informações geográficas não encontradas | 73.623 | 3
107.155.17.105 | Informações geográficas não encontradas | 63.647 | 3
107.155.17.105 | Informações geográficas não encontradas | 70.35 | 3
107.155.17.105 | Informações geográficas não encontradas | 48.071 | 3
128.1.77.122 | Informações geográficas não encontradas | 44.722 | 3
128.1.77.122 | Informações geográficas não encontradas | 44.684 | 3
128.1.77.122 | Informações geográficas não encontradas | 44.756 | 3
192.168.1.14 | Informações geográficas não encontradas | 154.92.25.2 | Informações geográficas não encontradas | 1726018491
192.168.1.1 | Informações geográficas não encontradas | 1.085 | 3
192.168.1.1 | Informações geográficas não encontradas | 0.904 | 3
192.168.1.1 | Informações geográficas não encontradas | 1.102 | 3
41.213.232.1 | Informações geográficas não encontradas | 2.324 | 3
41.213.232.1 | Informações geográficas não encontradas | 1.607 | 3
41.213.232.1 | Informações geográficas não encontradas | 2.523 | 3
165.169.0.32 | Informações geográficas não encontradas | 1.982 | 3
165.169.0.32 | Informações geográficas não encontradas | 2.529 | 3
165.169.0.32 | Informações geográficas não encontradas | 2.536 | 3
165.169.0.33 | Informações geográficas não encontradas | 2.163 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
196.60.10.119 | Informações geográficas não encontradas | 40.944 | 3
196.60.10.119 | Informações geográficas não encontradas | 40.406 | 3
196.60.10.119 | Informações geográficas não encontradas | 40.566 | 3
196.60.10.204 | Informações geográficas não encontradas | 43.585 | 3
196.60.10.204 | Informações geográficas não encontradas | 41.607 | 3
196.60.10.204 | Informações geográficas não encontradas | 41.101 | 3
154.92.25.2 | Informações geográficas não encontradas | 40.038 | 3
154.92.25.2 | Informações geográficas não encontradas | 39.365 | 3
154.92.25.2 | Informações geográficas não encontradas | 40.114 | 3
10.0.23.199 | Informações geográficas não encontradas | 154.92.25.9 | Informações geográficas não encontradas | 1726018487
10.0.23.1 | Informações geográficas não encontradas | 1.022 | 3
10.0.23.1 | Informações geográficas não encontradas | 1.721 | 3
10.0.23.1 | Informações geográficas não encontradas | 1.647 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
45.222.26.4 | Informações geográficas não encontradas | 4.302 | 3
45.222.26.4 | Informações geográficas não encontradas | 33.334 | 3
45.222.26.4 | Informações geográficas não encontradas | 11.013 | 3
45.222.26.97 | Informações geográficas não encontradas | 2.532 | 3
45.222.26.97 | Informações geográficas não encontradas | 2.948 | 3
45.222.26.97 | Informações geográficas não encontradas | 2.595 | 3
45.222.26.161 | Informações geográficas não encontradas | 2.814 | 3
45.222.26.161 | Informações geográficas não encontradas | 2.898 | 3
45.222.26.161 | Informações geográficas não encontradas | 2.838 | 3
169.255.0.44 | Informações geográficas não encontradas | 18.1 | 3
169.255.0.44 | Informações geográficas não encontradas | 17.941 | 3
169.255.0.44 | Informações geográficas não encontradas | 18.078 | 3
196.60.10.204 | Informações geográficas não encontradas | 24.542 | 3
196.60.10.204 | Informações geográficas não encontradas | 19.847 | 3
196.60.10.204 | Informações geográficas não encontradas | 19.728 | 3
154.92.25.9 | Informações geográficas não encontradas | 18.403 | 3
154.92.25.9 | Informações geográficas não encontradas | 18.101 | 3
154.92.25.9 | Informações geográficas não encontradas | 18.288 | 3
192.168.1.10 | Informações geográficas não encontradas | 128.1.77.230 | Informações geográficas não encontradas | 1726018495
192.168.1.1 | Informações geográficas não encontradas | 1.445 | 3
192.168.1.1 | Informações geográficas não encontradas | 3.888 | 3
192.168.1.1 | Informações geográficas não encontradas | 1.189 | 3
80.10.239.165 | Informações geográficas não encontradas | 2.805 | 3
80.10.239.165 | Informações geográficas não encontradas | 2.225 | 3
80.10.239.165 | Informações geográficas não encontradas | 2.587 | 3
193.253.83.90 | Informações geográficas não encontradas | 2.593 | 3
193.253.83.90 | Informações geográficas não encontradas | 2.487 | 3
193.253.83.90 | Informações geográficas não encontradas | 2.616 | 3
193.253.83.58 | Informações geográficas não encontradas | 4.235 | 3
193.253.83.58 | Informações geográficas não encontradas | 3.418 | 3
193.253.83.58 | Informações geográficas não encontradas | 3.586 | 3
81.253.131.118 | Informações geográficas não encontradas | 172.558 | 3
81.253.131.118 | Informações geográficas não encontradas | 174.653 | 3
81.253.131.118 | Informações geográficas não encontradas | 173.604 | 3
193.252.98.157 | Informações geográficas não encontradas | 172.862 | 3
193.252.98.157 | Informações geográficas não encontradas | 172.953 | 3
193.252.98.157 | Informações geográficas não encontradas | 172.425 | 3
193.252.137.74 | Informações geográficas não encontradas | 172.887 | 3
193.252.137.74 | Informações geográficas não encontradas | 172.927 | 3
193.252.137.74 | Informações geográficas não encontradas | 173.47 | 3
193.251.133.23 | Informações geográficas não encontradas | 173.681 | 3
193.251.133.23 | Informações geográficas não encontradas | 174.909 | 3
193.251.133.23 | Informações geográficas não encontradas | 173.457 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
107.155.17.246 | Informações geográficas não encontradas | 186.522 | 3
107.155.17.246 | Informações geográficas não encontradas | 189.031 | 3
107.155.17.246 | Informações geográficas não encontradas | 207.499 | 3
107.155.17.107 | Informações geográficas não encontradas | 238.62 | 3
107.155.17.107 | Informações geográficas não encontradas | 178.418 | 3
107.155.17.107 | Informações geográficas não encontradas | 175.448 | 3
128.1.77.230 | Informações geográficas não encontradas | 173.444 | 3
128.1.77.230 | Informações geográficas não encontradas | 172.991 | 3
128.1.77.230 | Informações geográficas não encontradas | 173.455 | 3
192.168.0.2 | Informações geográficas não encontradas | 156.225.111.21 | Informações geográficas não encontradas | 1726018483
192.168.0.1 | Informações geográficas não encontradas | 2.32 | 3
192.168.0.1 | Informações geográficas não encontradas | 2.848 | 3
192.168.0.1 | Informações geográficas não encontradas | 1.976 | 3
181.220.136.1 | Informações geográficas não encontradas | 12.701 | 3
181.220.136.1 | Informações geográficas não encontradas | 13.69 | 3
181.220.136.1 | Informações geográficas não encontradas | 12.812 | 3
189.7.186.233 | Informações geográficas não encontradas | 9.678 | 3
189.7.186.233 | Informações geográficas não encontradas | 10.558 | 3
189.7.186.233 | Informações geográficas não encontradas | 13.951 | 3
200.249.17.17 | Informações geográficas não encontradas | 11.271 | 3
200.249.17.17 | Informações geográficas não encontradas | 13.741 | 3
200.249.17.17 | Informações geográficas não encontradas | 11.808 | 3
200.230.3.15 | Informações geográficas não encontradas | 164.862 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
200.230.252.230 | Informações geográficas não encontradas | 155.304 | 3
200.230.252.230 | Informações geográficas não encontradas | 148.943 | 3
200.230.252.230 | Informações geográficas não encontradas | 149.627 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
200.230.220.128 | Informações geográficas não encontradas | 177.218 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
206.126.237.98 | Informações geográficas não encontradas | 170.325 | 3
206.126.237.98 | Informações geográficas não encontradas | 167.6 | 3
206.126.237.98 | Informações geográficas não encontradas | 166.751 | 3
103.140.147.238 | Informações geográficas não encontradas | 156.925 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
103.140.147.238 | Informações geográficas não encontradas | 159.072 | 3
103.140.147.203 | Informações geográficas não encontradas | 163.037 | 3
103.140.147.203 | Informações geográficas não encontradas | 165.475 | 3
103.140.147.203 | Informações geográficas não encontradas | 159.861 | 3
98.98.230.245 | Informações geográficas não encontradas | 159.126 | 3
98.98.230.245 | Informações geográficas não encontradas | 160.46 | 3
98.98.230.245 | Informações geográficas não encontradas | 161.409 | 3
Origem da probe não especificada | Informações geográficas não encontradas | Latência não especificada | 3
156.225.111.21 | Informações geográficas não encontradas | 160.268 | 3
156.225.111.21 | Informações geográficas não encontradas | 157.396 | 3
192.168.0.100 | Informações geográficas não encontradas | 156.246.19.249 | Informações geográficas não encontradas | 1726018484
156.246.19.249 | Informações geográficas não encontradas | 48.276 | 3
156.246.19.249 | Informações geográficas não encontradas | 47.742 | 3
156.246.19.249 | Informações geográficas não encontradas | 47.816 | 3
192.168.1.116 | Informações geográficas não encontradas | 156.246.19.251 | Informações geográficas não encontradas | 1726018347
192.168.1.1 | Informações geográficas não encontradas | 1.061 | 3
192.168.1.1 | Informações geográficas não encontradas | 1.0 | 3
192.168.1.1 | Informações geográficas não encontradas | 0.937 | 3
114.23.98.255 | Informações geográficas não encontradas | 8.756 | 3
114.23.98.255 | Informações geográficas não encontradas | 7.217 | 3
114.23.98.255 | Informações geográficas não encontradas | 7.688 | 3
114.23.15.226 | Informações geográficas não encontradas | 7.339 | 3
114.23.15.226 | Informações geográficas não encontradas | 7.772 | 3
114.23.15.226 | Informações geográficas não encontradas | 7.209 | 3
43.240.33.64 | Informações geográficas não encontradas | 23.955 | 3
43.240.33.64 | Informações geográficas não encontradas | 24.132 | 3
43.240.33.64 | Informações geográficas não encontradas | 24.164 | 3
43.240.33.125 | Informações geográficas não encontradas | 27.606 | 3
43.240.33.125 | Informações geográficas não encontradas | 35.687 | 3
43.240.33.125 | Informações geográficas não encontradas | 33.028 | 3
43.240.33.122 | Informações geográficas não encontradas | 23.869 | 3
43.240.33.122 | Informações geográficas não encontradas | 24.242 | 3
43.240.33.122 | Informações geográficas não encontradas | 24.263 | 3
43.240.33.48 | Informações geográficas não encontradas | 24.452 | 3
43.240.33.48 | Informações geográficas não encontradas | 24.347 | 3
43.240.33.48 | Informações geográficas não encontradas | 24.492 | 3
43.240.33.63 | Informações geográficas não encontradas | 22.9 | 3
43.240.33.63 | Informações geográficas não encontradas | 22.662 | 3
43.240.33.63 | Informações geográficas não encontradas | 23.77 | 3
114.23.29.6 | Informações geográficas não encontradas | 22.561 | 3
114.23.29.6 | Informações geográficas não encontradas | 22.839 | 3
114.23.29.6 | Informações geográficas não encontradas | 23.285 | 3
43.240.33.26 | Informações geográficas não encontradas | 23.638 | 3
43.240.33.26 | Informações geográficas não encontradas | 24.044 | 3
43.240.33.26 | Informações geográficas não encontradas | 24.435 | 3
43.240.33.23 | Informações geográficas não encontradas | 24.367 | 3
43.240.33.23 | Informações geográficas não encontradas | 23.704 | 3
43.240.33.23 | Informações geográficas não encontradas | 23.43 | 3
43.240.33.33 | Informações geográficas não encontradas | 24.023 | 3
43.240.33.33 | Informações geográficas não encontradas | 23.832 | 3
43.240.33.33 | Informações geográficas não encontradas | 24.704 | 3
43.240.33.43 | Informações geográficas não encontradas | 24.392 | 3
43.240.33.43 | Informações geográficas não encontradas | 23.714 | 3
43.240.33.43 | Informações geográficas não encontradas | 23.971 | 3
122.56.118.157 | Informações geográficas não encontradas | 24.238 | 3
122.56.118.157 | Informações geográficas não encontradas | 23.331 | 3
122.56.118.157 | Informações geográficas não encontradas | 23.953 | 3
122.56.127.17 | Informações geográficas não encontradas | 23.742 | 3
122.56.127.17 | Informações geográficas não encontradas | 24.352 | 3
122.56.127.17 | Informações geográficas não encontradas | 24.317 | 3
122.56.127.94 | Informações geográficas não encontradas | 48.304 | 3
122.56.127.94 | Informações geográficas não encontradas | 46.73 | 3
122.56.127.94 | Informações geográficas não encontradas | 46.716 | 3
45.127.173.34 | Informações geográficas não encontradas | 54.505 | 3
45.127.173.34 | Informações geográficas não encontradas | 48.721 | 3
45.127.173.34 | Informações geográficas não encontradas | 53.179 | 3
156.246.19.251 | Informações geográficas não encontradas | 46.65 | 3
156.246.19.251 | Informações geográficas não encontradas | 47.621 | 3
156.246.19.251 | Informações geográficas não encontradas | 46.567 | 3
192.168.200.142 | Informações geográficas não encontradas | 156.225.111.22 | Informações geográficas não encontradas | 1726018487
192.168.200.254 | Informações geográficas não encontradas | 1.013 | 3
192.168.200.254 | Informações geográficas não encontradas | 0.78 | 3
192.168.200.254 | Informações geográficas não encontradas | 0.666 | 3
179.51.239.1 | Informações geográficas não encontradas | 1.231 | 3
179.51.239.1 | Informações geográficas não encontradas | 1.241 | 3
179.51.239.1 | Informações geográficas não encontradas | 1.153 | 3
200.40.65.133 | Informações geográficas não encontradas | 25.375 | 3
